"","cluster1","cluster9","cluster5","cluster4","cluster2","cluster8","cluster3","cluster6","cluster10","cluster7"
"NOURISH.81236.2.H05",8.71472633693524,8.8194358189443,11.163845180154,5.27215574595108,4.56109126392109,6.59218232283789,7.4679555031682,10.0307495970647,-0.161425421937508,9.13721774841946
"NOURISH.81843.2.H06",8.95835402899072,10.8792075011597,11.3062975797243,4.43927037387775,3.68928846035547,-0.0979322863314778,-0.0979322863314778,-0.0979322863314778,4.67340328190624,-0.0979322863314778
"NOURISH.81852.2.H07",9.11906211367059,7.05339440376915,11.4514515370351,-0.123516218972798,7.74615949906383,-0.123516218972798,-0.123516218972798,-0.123516218972798,-0.123516218972798,-0.123516218972798
"NOURISH.81860.2.H08",7.13246383606368,8.38933631196558,8.74502172663115,-0.0741688288454299,10.5595626683642,6.67491141249432,11.421426659433,-0.0741688288454299,7.3185278670451,7.82057984304405
"NOURISH.81868.2.H09",8.66832488892819,4.629204325988,11.2963463989857,6.47446410214884,9.97530953710369,8.58172383330523,8.30514313019404,4.56522696342221,6.43451305939355,-0.14797191372779
"NOURISH.81264.2.H10",7.8329907220577,9.33154372215824,11.6620820475012,-0.112918621250676,4.6682264195775,6.74807676713805,8.13745238101693,8.65125709463769,-0.112918621250676,-0.112918621250676
"NOURISH.81273.2.H11",8.91061437311774,7.98711786726106,11.5542154547441,-0.161575146822791,5.68250444426676,5.53269191467284,5.25505959993424,8.32383806165435,4.63474769355362,7.02510548088241
"NOURISH.80631.1.A02",10.2177866628003,7.88545267273202,10.5299914144052,8.15572951277367,5.05858626404757,5.48441206081832,-0.312599762079893,-0.312599762079893,5.2674269404325,-0.312599762079893
"NOURISH.80640.1.A03",4.06635880350928,9.88803743417893,-0.0706699172628369,-0.0706699172628369,11.2498567817331,-0.0706699172628369,6.97227701883952,-0.0706699172628369,4.75148881573746,-0.0706699172628369
"NOURISH.80648.1.A04",10.2664800503162,10.9732378493366,6.08971848605257,-0.0603611476965646,10.7016238868297,-0.0603611476965646,-0.0603611476965646,-0.0603611476965646,8.68527443895258,-0.0603611476965646
"NOURISH.81199.1.A05",7.74866014943481,6.60243969741877,11.1928662491965,5.56813034722621,7.25898544565292,-0.324198567857342,8.99060669715156,-0.324198567857342,-0.324198567857342,-0.324198567857342
"NOURISH.81168.1.A06",8.30481915444747,10.9544492792977,5.44984892212862,-0.105173004594592,10.7474302867066,5.76724719181007,-0.105173004594592,5.76724719181007,6.71752535625868,10.2021082313171
"NOURISH.80462.1.A07",8.4399754264346,7.67256507440235,11.1641807281924,4.98377416683618,7.73117834452057,7.5521063040604,9.01414603856116,7.07633361300526,4.36412602815641,-0.273178681207344
"NOURISH.80471.1.A08",-0.0633727851004835,11.1863152143515,-0.0633727851004835,-0.0633727851004835,8.31716965656534,-0.0633727851004835,10.7766711278317,7.03805700665053,6.3006889668195,9.31984930269154
"NOURISH.81893.1.A09",7.56522735542547,10.4260649338783,4.05377338399507,-0.129772022504579,8.52472235510679,7.98137182522298,-0.129772022504579,-0.129772022504579,8.9179585327313,-0.129772022504579
"NOURISH.81903.1.A10",9.19422232999502,7.11728311633704,11.6525516780695,5.67448168247874,6.23744427456216,-0.168831333531163,6.71595162214332,-0.168831333531163,3.76150095921073,-0.168831333531163
"NOURISH.81201.1.A11",9.44772329096316,11.5507238653024,6.28407794267008,-0.0688967738456867,10.1319808126101,-0.0688967738456867,-0.0688967738456867,-0.0688967738456867,5.6538327631108,-0.0688967738456867
"NOURISH.80624.1.B01",8.89858493726707,10.9916517514251,4.17513341603405,-0.102967831374432,10.4361912502066,6.51388116425446,6.9346347101026,-0.102967831374432,6.41393849991383,-0.102967831374432
"NOURISH.80633.1.B02",4.72432533267209,11.4538409828355,9.74181685572088,-0.0477462891821894,9.5482002541085,8.70728035494352,4.72432533267209,-0.0477462891821894,-0.0477462891821894,-0.0477462891821894
"NOURISH.80641.1.B03",10.1352829885562,9.07669061653179,11.4061317815369,-0.115843493566135,5.82619597727193,5.16151314960868,6.58780989066142,-0.115843493566135,-0.115843493566135,-0.115843493566135
"NOURISH.80649.1.B04",8.63346359806057,6.17643079192575,11.4339887275523,4.56308560743343,4.98312576317191,-0.245802710746423,-0.245802710746423,-0.245802710746423,4.10830019840783,-0.245802710746423
"NOURISH.81178.1.B05",9.99647825238338,10.7640565956518,9.32156133637241,-0.112567715712668,9.5734902699944,7.55084973699482,9.44738451981645,-0.112567715712668,4.36498997762863,-0.112567715712668
"NOURISH.81169.1.B06",8.9000109189255,11.8886532865442,-0.0460844539758636,-0.0460844539758636,7.57045567895091,5.12663485131257,5.33321068854463,-0.0460844539758636,-0.0460844539758636,-0.0460844539758636
"NOURISH.80463.1.B07",9.71935524829837,9.8318366997697,10.8500556871648,9.40157980470354,5.55171653297818,-0.211212764511828,-0.211212764511828,-0.211212764511828,-0.211212764511828,-0.211212764511828
"NOURISH.80472.1.B08",9.81440942158802,9.07095067689387,11.08711134985,-0.213149206089245,8.59726608883379,7.07863061069171,7.16426939327488,-0.213149206089245,5.16774403947925,-0.213149206089245
"NOURISH.81894.1.B09",10.4212234217176,10.029045272292,8.8302762938008,-0.140859869451878,8.2075913633433,7.56241327244742,10.3860163611096,7.67957051722633,-0.140859869451878,8.66589181195802
"NOURISH.81904.1.B10",7.84576277048444,4.50907428919424,11.5441351361436,-0.190188210309888,5.49195408703306,5.80736725860466,8.56911438629811,-0.190188210309888,4.04451699411681,-0.190188210309888
"NOURISH.81202.1.B11",10.4215392202182,11.1799517060259,-0.065169404215009,-0.065169404215009,9.89006160801745,9.61035434137154,-0.065169404215009,-0.065169404215009,7.56297676736205,-0.065169404215009
"NOURISH.80634.1.C02",8.36796284678722,7.5312527728688,10.9789724355513,5.5713783475904,7.63778046701865,2.96546557396264,4.41956556080984,-0.383829758338212,-0.383829758338212,-0.383829758338212
"NOURISH.80642.1.C03",10.4189326015092,9.86487971877277,11.0572570622306,4.00415752673172,7.88240613885871,7.44188534839672,7.08903564999591,7.53829888839272,8.19165903967836,6.20916814654279
"NOURISH.81152.1.C04",-0.0610471875969569,11.5117527954823,7.21136599897648,-0.0610471875969569,10.8225171505162,-0.0610471875969569,-0.0610471875969569,-0.0610471875969569,-0.0610471875969569,-0.0610471875969569
"NOURISH.81161.1.C05",8.4000650841304,11.4005095702138,-0.0651111518486243,-0.0651111518486243,9.90549507786851,-0.0651111518486243,-0.0651111518486243,-0.0651111518486243,7.2495168688031,8.58641634716847
"NOURISH.81170.1.C06",8.22893240381903,8.66809763562814,10.6474443503118,-0.159530864779983,9.17676468663952,6.47900489117348,9.55976073666163,10.495789451532,-0.159530864779983,6.02628131454986
